experience_level,workload_band,operations,avg_duration_minutes,avg_variance_minutes,delay_rate_pct
Junior,Extreme,340,183.11738235294118,108.11738235294119,83.82352941176471
Junior,Very High,2756,164.91038098693758,89.9103809869376,78.99129172714079
Junior,High,12536,144.17491464582002,69.17491464582004,73.2610082961072
Junior,Moderate,25199,126.96613992618754,51.966139926187545,67.64157307829676
Junior,Low,8135,113.17312599877074,38.17312599877074,63.036263060848185
Mid,Extreme,514,146.34402723735408,71.34402723735408,77.431906614786
Mid,Very High,3783,128.93043880518107,53.930438805181076,68.19984139571768
Mid,High,18502,114.97114906496596,39.97114906496595,62.46351745757216
Mid,Moderate,36576,100.72911389982502,25.72911389982502,55.08256780402449
Mid,Low,11397,90.76559884180048,15.765598841800474,48.62683162235676
Senior,Extreme,232,122.56896551724138,47.56896551724138,62.5
Senior,Very High,1649,110.21266221952698,35.21266221952698,61.431170406306855
Senior,High,7908,97.75640111279716,22.756401112797167,52.78199291856348
Senior,Moderate,15592,87.15274756285274,12.152747562852744,46.1198050282196
Senior,Low,4881,76.86832821143209,1.8683282114320834,39.52059004302397
