region,facility_type,operations,avg_duration_minutes,avg_variance_minutes,delay_rate_pct,avg_workload,capacity
Central,Distribution Center,12123,112.70135527509693,37.70135527509692,59.572713024828836,8.661192774065825,555.273447166543
West,Processing Hub,5907,110.54193668528863,35.54193668528864,59.55645843914,8.585962417470798,521.0
Central,Fulfillment Center,5884,111.51463630183548,36.51463630183549,59.449354180829374,8.724391570360298,500.0
South,Processing Hub,6048,110.81839285714285,35.81839285714286,59.42460317460318,8.622508267195768,404.0
West,Fulfillment Center,6000,110.33979,35.33979,59.333333333333336,8.611381666666666,828.0
North,Distribution Center,5902,109.45654862758387,34.45654862758387,59.25110132158591,8.625472721111487,608.0
East,Processing Hub,17965,110.09510548288338,35.09510548288338,59.19287503478987,8.705021430559421,703.5418870025048
East,Fulfillment Center,11946,110.33038255483007,35.33038255483007,59.12439310229366,8.622585802779174,728.9525364138624
North,Fulfillment Center,5933,110.80161638294285,35.80161638294286,59.110062363054105,8.656431822012472,359.0
West,Distribution Center,24012,110.40607404631018,35.40607404631018,58.92886889888389,8.66704314509412,534.7708645677161
East,Distribution Center,24185,110.19160802150093,35.19160802150093,58.788505271862725,8.62518833988009,427.8106677692785
North,Processing Hub,12002,109.82117397100482,34.82117397100483,58.606898850191634,8.676808031994668,643.6871354774204
South,Distribution Center,12093,109.92714710989829,34.927147109898286,57.884726701397504,8.617390225750434,832.2881005540395
