category,subcategory,operations,avg_duration_minutes,avg_variance_minutes,delay_rate_pct,avg_workload
Industrial,Machinery,8830,111.39785390713477,36.39785390713477,59.58097395243488,8.666103057757645
Electronics,Accessories,12270,111.20658190709047,36.20658190709047,59.380603096984515,8.679820700896496
Home,Decor,9185,112.23019379422972,37.23019379422973,59.35764833968427,8.611168209036473
Consumer Goods,Food,9486,111.36330592452035,36.36330592452035,59.34008011806873,8.659321104786
Electronics,Components,6931,110.32071129707113,35.32071129707113,59.18337902178617,8.639509450295773
Industrial,Equipment,9503,109.80890034725876,34.808900347258756,59.170788172156165,8.62490476691571
Healthcare,Diagnostics,9119,110.29708520671126,35.29708520671126,59.151222721789665,8.6390316920715
Electronics,Devices,10774,110.07732596992761,35.0773259699276,59.04028216075737,8.621905513272694
Home,Furniture,7244,110.31558255107674,35.31558255107675,58.93152954168968,8.715906957482053
Healthcare,Supplies,7847,110.08694405505288,35.08694405505289,58.83777239709443,8.705223652351217
Consumer Goods,Personal Care,9024,109.57969414893617,34.57969414893617,58.8209219858156,8.699382757092199
Healthcare,Medical Devices,13147,110.40037042671331,35.400370426713316,58.75865216399178,8.646322354909865
Industrial,Tools,12288,109.74026367187501,34.740263671875,58.626302083333336,8.587403157552083
Consumer Goods,Household,13009,110.46285494657545,35.46285494657545,58.574832808055966,8.689879314320855
Home,Appliances,11343,109.87915013664815,34.87915013664816,58.57356960239796,8.606317552675659
