stage_name,workload_band,operations,avg_duration_minutes,avg_variance_minutes,delay_rate_pct
Dispatch,Low,24413,28.717667636095523,-11.282332363904478,21.115798959570718
Dispatch,Moderate,77367,32.0327165328887,-7.9672834671113,26.31095945299676
Dispatch,High,38946,34.58903173625019,-5.410968263749807,29.887536589123403
Dispatch,Very High,8188,35.30804225696141,-4.691957743038593,30.410356619443085
Dispatch,Extreme,1086,35.267965009208105,-4.732034990791897,30.29465930018416
Packaging,Low,24413,43.04827141277188,-1.9517285872281163,35.4237496415844
Packaging,Moderate,77367,48.07375896700143,3.0737589670014347,41.294091796243876
Packaging,High,38946,51.85292430544857,6.852924305448569,45.64525240076003
Packaging,Very High,8188,52.959465070835364,7.9594650708353685,46.28724963361016
Packaging,Extreme,1086,52.78257826887661,7.782578268876611,45.94843462246777
Processing,Low,24413,71.76251423421948,-18.237485765780526,25.98205873919633
Processing,Moderate,77367,79.94953584861763,-10.050464151382373,31.45397908669071
Processing,High,38946,86.3743729779695,-3.6256270220305042,35.44908334617162
Processing,Very High,8188,88.13059843673669,-1.869401563263312,36.06497313141182
Processing,Extreme,1086,87.98358195211786,-2.0164180478821363,35.35911602209944
Quality Check,Low,24413,95.45378363986401,20.453783639864007,51.60774996927866
Quality Check,Moderate,77367,106.5386207297685,31.538620729768507,57.36683598950457
Quality Check,High,38946,120.87584219175268,45.87584219175268,63.97319365274996
Quality Check,Very High,8188,137.2713165608207,62.27131656082071,70.46897899364924
Quality Check,Extreme,1086,152.7778453038674,77.77784530386741,76.24309392265194
