employee_id,department,team,experience_level
EMP_0001,Quality,Team D,Mid
EMP_0002,Processing,Team A,Mid
EMP_0003,Processing,Team A,Junior
EMP_0004,Processing,Team E,Senior
EMP_0005,Processing,Team B,Mid
EMP_0006,Packaging,Team E,Mid
EMP_0007,Processing,Team A,Mid
EMP_0008,Packaging,Team D,Junior
EMP_0009,Processing,Team B,Mid
EMP_0010,Dispatch,Team D,Junior
EMP_0011,Quality,Team E,Junior
EMP_0012,Processing,Team C,Mid
EMP_0013,Quality,Team D,Senior
EMP_0014,Processing,Team E,Mid
EMP_0015,Processing,Team E,Junior
EMP_0016,Quality,Team E,Mid
EMP_0017,Packaging,Team C,Senior
EMP_0018,Dispatch,Team C,Mid
EMP_0019,Quality,Team C,Senior
EMP_0020,Dispatch,Team B,Mid
EMP_0021,Dispatch,Team C,Mid
EMP_0022,Dispatch,Team C,Junior
EMP_0023,Quality,Team C,Junior
EMP_0024,Processing,Team D,Mid
EMP_0025,Processing,Team C,Mid
EMP_0026,Packaging,Team B,Senior
EMP_0027,Quality,Team E,Senior
EMP_0028,Processing,Team D,Junior
EMP_0029,Quality,Team A,Junior
EMP_0030,Processing,Team C,Mid
EMP_0031,Packaging,Team E,Junior
EMP_0032,Processing,Team E,Mid
EMP_0033,Packaging,Team D,Senior
EMP_0034,Packaging,Team A,Senior
EMP_0035,Processing,Team B,Mid
EMP_0036,Quality,Team E,Senior
EMP_0037,Packaging,Team E,Mid
EMP_0038,Processing,Team E,Junior
EMP_0039,Processing,Team E,Mid
EMP_0040,Processing,Team D,Mid
EMP_0041,Quality,Team A,Mid
EMP_0042,Quality,Team E,Junior
EMP_0043,Processing,Team B,Mid
EMP_0044,Quality,Team B,Mid
EMP_0045,Processing,Team C,Senior
EMP_0046,Dispatch,Team E,Mid
EMP_0047,Processing,Team E,Mid
EMP_0048,Dispatch,Team E,Mid
EMP_0049,Quality,Team E,Junior
EMP_0050,Packaging,Team E,Mid
EMP_0051,Quality,Team B,Senior
EMP_0052,Packaging,Team A,Mid
EMP_0053,Processing,Team A,Senior
EMP_0054,Packaging,Team C,Junior
EMP_0055,Quality,Team B,Junior
EMP_0056,Quality,Team E,Senior
EMP_0057,Quality,Team A,Senior
EMP_0058,Dispatch,Team D,Senior
EMP_0059,Packaging,Team D,Mid
EMP_0060,Processing,Team D,Senior
EMP_0061,Packaging,Team E,Senior
EMP_0062,Packaging,Team E,Senior
EMP_0063,Dispatch,Team C,Mid
EMP_0064,Dispatch,Team C,Mid
EMP_0065,Packaging,Team C,Senior
EMP_0066,Processing,Team D,Mid
EMP_0067,Packaging,Team E,Mid
EMP_0068,Quality,Team D,Mid
EMP_0069,Dispatch,Team C,Mid
EMP_0070,Processing,Team E,Mid
EMP_0071,Processing,Team B,Junior
EMP_0072,Processing,Team A,Senior
EMP_0073,Packaging,Team A,Mid
EMP_0074,Dispatch,Team C,Mid
EMP_0075,Processing,Team D,Junior
EMP_0076,Packaging,Team B,Junior
EMP_0077,Packaging,Team E,Junior
EMP_0078,Packaging,Team D,Mid
EMP_0079,Processing,Team C,Junior
EMP_0080,Dispatch,Team D,Senior
EMP_0081,Processing,Team C,Junior
EMP_0082,Packaging,Team A,Junior
EMP_0083,Processing,Team A,Junior
EMP_0084,Quality,Team D,Junior
EMP_0085,Dispatch,Team B,Mid
EMP_0086,Processing,Team E,Senior
EMP_0087,Processing,Team C,Mid
EMP_0088,Packaging,Team E,Junior
EMP_0089,Quality,Team A,Junior
EMP_0090,Quality,Team B,Mid
EMP_0091,Processing,Team B,Senior
EMP_0092,Processing,Team E,Junior
EMP_0093,Quality,Team A,Mid
EMP_0094,Processing,Team E,Mid
EMP_0095,Dispatch,Team D,Junior
EMP_0096,Processing,Team B,Mid
EMP_0097,Quality,Team B,Junior
EMP_0098,Processing,Team D,Mid
EMP_0099,Processing,Team A,Junior
EMP_0100,Packaging,Team B,Mid
EMP_0101,Packaging,Team C,Junior
EMP_0102,Processing,Team C,Senior
EMP_0103,Processing,Team A,Junior
EMP_0104,Processing,Team D,Senior
EMP_0105,Packaging,Team E,Senior
EMP_0106,Quality,Team A,Senior
EMP_0107,Processing,Team E,Mid
EMP_0108,Quality,Team A,Mid
EMP_0109,Packaging,Team C,Mid
EMP_0110,Dispatch,Team D,Junior
EMP_0111,Dispatch,Team C,Mid
EMP_0112,Processing,Team D,Junior
EMP_0113,Processing,Team E,Senior
EMP_0114,Processing,Team A,Junior
EMP_0115,Packaging,Team B,Mid
EMP_0116,Dispatch,Team B,Mid
EMP_0117,Quality,Team D,Mid
EMP_0118,Processing,Team D,Mid
EMP_0119,Quality,Team C,Junior
EMP_0120,Processing,Team B,Mid
EMP_0121,Processing,Team C,Junior
EMP_0122,Quality,Team E,Senior
EMP_0123,Processing,Team B,Mid
EMP_0124,Processing,Team E,Senior
EMP_0125,Packaging,Team A,Junior
EMP_0126,Processing,Team C,Junior
EMP_0127,Processing,Team D,Junior
EMP_0128,Processing,Team B,Junior
EMP_0129,Dispatch,Team C,Junior
EMP_0130,Packaging,Team D,Mid
EMP_0131,Processing,Team A,Junior
EMP_0132,Quality,Team B,Mid
EMP_0133,Processing,Team E,Senior
EMP_0134,Packaging,Team A,Mid
EMP_0135,Packaging,Team D,Mid
EMP_0136,Dispatch,Team B,Mid
EMP_0137,Quality,Team B,Mid
EMP_0138,Dispatch,Team A,Junior
EMP_0139,Dispatch,Team B,Mid
EMP_0140,Dispatch,Team D,Mid
EMP_0141,Quality,Team A,Senior
EMP_0142,Processing,Team E,Mid
EMP_0143,Processing,Team A,Mid
EMP_0144,Processing,Team A,Mid
EMP_0145,Processing,Team E,Junior
EMP_0146,Packaging,Team D,Mid
EMP_0147,Packaging,Team C,Mid
EMP_0148,Dispatch,Team C,Junior
EMP_0149,Processing,Team E,Junior
EMP_0150,Processing,Team D,Junior
EMP_0151,Packaging,Team B,Mid
EMP_0152,Processing,Team E,Junior
EMP_0153,Processing,Team C,Mid
EMP_0154,Dispatch,Team D,Mid
EMP_0155,Packaging,Team A,Mid
EMP_0156,Quality,Team D,Senior
EMP_0157,Dispatch,Team D,Senior
EMP_0158,Packaging,Team C,Mid
EMP_0159,Packaging,Team C,Junior
EMP_0160,Dispatch,Team B,Mid
