product_id,category,subcategory
PROD_0001,Consumer Goods,Household
PROD_0002,Home,Decor
PROD_0003,Home,Decor
PROD_0004,Healthcare,Medical Devices
PROD_0005,Industrial,Tools
PROD_0006,Electronics,Devices
PROD_0007,Industrial,Equipment
PROD_0008,Home,Appliances
PROD_0009,Consumer Goods,Household
PROD_0010,Electronics,Accessories
PROD_0011,Electronics,Accessories
PROD_0012,Consumer Goods,Personal Care
PROD_0013,Electronics,Accessories
PROD_0014,Consumer Goods,Household
PROD_0015,Electronics,Accessories
PROD_0016,Industrial,Equipment
PROD_0017,Electronics,Devices
PROD_0018,Healthcare,Diagnostics
PROD_0019,Consumer Goods,Food
PROD_0020,Electronics,Components
PROD_0021,Consumer Goods,Household
PROD_0022,Healthcare,Supplies
PROD_0023,Electronics,Components
PROD_0024,Electronics,Accessories
PROD_0025,Healthcare,Medical Devices
PROD_0026,Healthcare,Diagnostics
PROD_0027,Healthcare,Medical Devices
PROD_0028,Consumer Goods,Household
PROD_0029,Healthcare,Diagnostics
PROD_0030,Consumer Goods,Personal Care
PROD_0031,Industrial,Equipment
PROD_0032,Electronics,Components
PROD_0033,Electronics,Devices
PROD_0034,Home,Decor
PROD_0035,Industrial,Tools
PROD_0036,Healthcare,Diagnostics
PROD_0037,Healthcare,Diagnostics
PROD_0038,Industrial,Equipment
PROD_0039,Healthcare,Medical Devices
PROD_0040,Home,Appliances
PROD_0041,Consumer Goods,Food
PROD_0042,Electronics,Components
PROD_0043,Industrial,Machinery
PROD_0044,Electronics,Devices
PROD_0045,Consumer Goods,Food
PROD_0046,Industrial,Machinery
PROD_0047,Consumer Goods,Household
PROD_0048,Healthcare,Diagnostics
PROD_0049,Healthcare,Medical Devices
PROD_0050,Healthcare,Diagnostics
PROD_0051,Consumer Goods,Food
PROD_0052,Consumer Goods,Household
PROD_0053,Consumer Goods,Personal Care
PROD_0054,Electronics,Accessories
PROD_0055,Consumer Goods,Household
PROD_0056,Healthcare,Supplies
PROD_0057,Home,Furniture
PROD_0058,Consumer Goods,Household
PROD_0059,Home,Decor
PROD_0060,Healthcare,Supplies
PROD_0061,Consumer Goods,Household
PROD_0062,Electronics,Components
PROD_0063,Electronics,Components
PROD_0064,Home,Decor
PROD_0065,Electronics,Devices
PROD_0066,Electronics,Components
PROD_0067,Electronics,Accessories
PROD_0068,Healthcare,Medical Devices
PROD_0069,Electronics,Accessories
PROD_0070,Industrial,Tools
PROD_0071,Consumer Goods,Food
PROD_0072,Electronics,Devices
PROD_0073,Electronics,Devices
PROD_0074,Electronics,Devices
PROD_0075,Industrial,Equipment
PROD_0076,Electronics,Accessories
PROD_0077,Electronics,Devices
PROD_0078,Consumer Goods,Food
PROD_0079,Industrial,Machinery
PROD_0080,Industrial,Machinery
PROD_0081,Electronics,Devices
PROD_0082,Industrial,Tools
PROD_0083,Home,Decor
PROD_0084,Industrial,Machinery
PROD_0085,Industrial,Machinery
PROD_0086,Industrial,Machinery
PROD_0087,Healthcare,Diagnostics
PROD_0088,Healthcare,Supplies
PROD_0089,Healthcare,Supplies
PROD_0090,Industrial,Tools
PROD_0091,Home,Appliances
PROD_0092,Industrial,Machinery
PROD_0093,Electronics,Components
PROD_0094,Home,Furniture
PROD_0095,Healthcare,Diagnostics
PROD_0096,Consumer Goods,Food
PROD_0097,Home,Decor
PROD_0098,Healthcare,Medical Devices
PROD_0099,Home,Furniture
PROD_0100,Home,Appliances
PROD_0101,Industrial,Machinery
PROD_0102,Electronics,Devices
PROD_0103,Consumer Goods,Household
PROD_0104,Healthcare,Medical Devices
PROD_0105,Home,Appliances
PROD_0106,Consumer Goods,Food
PROD_0107,Home,Furniture
PROD_0108,Electronics,Accessories
PROD_0109,Consumer Goods,Household
PROD_0110,Healthcare,Diagnostics
PROD_0111,Home,Furniture
PROD_0112,Electronics,Devices
PROD_0113,Consumer Goods,Household
PROD_0114,Home,Appliances
PROD_0115,Home,Furniture
PROD_0116,Healthcare,Medical Devices
PROD_0117,Electronics,Accessories
PROD_0118,Industrial,Machinery
PROD_0119,Home,Appliances
PROD_0120,Consumer Goods,Food
PROD_0121,Healthcare,Supplies
PROD_0122,Healthcare,Supplies
PROD_0123,Home,Appliances
PROD_0124,Home,Decor
PROD_0125,Home,Appliances
PROD_0126,Industrial,Equipment
PROD_0127,Home,Appliances
PROD_0128,Electronics,Devices
PROD_0129,Consumer Goods,Household
PROD_0130,Home,Furniture
PROD_0131,Industrial,Tools
PROD_0132,Consumer Goods,Food
PROD_0133,Healthcare,Medical Devices
PROD_0134,Home,Appliances
PROD_0135,Consumer Goods,Personal Care
PROD_0136,Healthcare,Supplies
PROD_0137,Industrial,Tools
PROD_0138,Electronics,Components
PROD_0139,Home,Furniture
PROD_0140,Electronics,Accessories
PROD_0141,Industrial,Machinery
PROD_0142,Consumer Goods,Household
PROD_0143,Consumer Goods,Personal Care
PROD_0144,Industrial,Equipment
PROD_0145,Industrial,Machinery
PROD_0146,Home,Furniture
PROD_0147,Healthcare,Diagnostics
PROD_0148,Electronics,Accessories
PROD_0149,Electronics,Accessories
PROD_0150,Consumer Goods,Food
